group,rtt_ms,trial,seconds,read_bytes,written_bytes
mlkem512,100,7,0.32,1485,1047
mlkem512,100,8,0.32,1485,1047
mlkem512,100,9,0.32,1485,1047
mlkem512,100,10,0.32,1485,1047
mlkem512,100,11,0.32,1486,1047
mlkem512,100,12,0.32,1486,1047
mlkem512,100,13,0.32,1485,1047
mlkem512,100,14,0.31,1485,1047
mlkem512,100,15,0.32,1486,1047
mlkem512,100,16,0.31,1485,1047
mlkem512,100,17,0.32,1486,1047
mlkem512,100,18,0.32,1485,1047
mlkem512,100,19,0.32,1485,1047
mlkem512,100,20,0.32,1486,1047
mlkem768,100,1,0.32,1805,1431
mlkem768,100,2,0.32,1805,1431
mlkem768,100,3,0.32,1804,1431
mlkem768,100,4,0.32,1805,1431
mlkem768,100,5,0.32,1806,1431
mlkem768,100,6,0.32,1805,1431
mlkem768,100,7,0.32,1805,1431
mlkem768,100,8,0.32,1805,1431
mlkem768,100,9,0.32,1805,1431
mlkem768,100,10,0.32,1805,1431
mlkem768,100,11,0.32,1804,1431
mlkem768,100,12,0.31,1804,1431
mlkem768,100,13,0.32,1804,1431
mlkem768,100,14,0.32,1806,1431
mlkem768,100,15,0.32,1806,1431
mlkem768,100,16,0.32,1805,1431
mlkem768,100,17,0.32,1805,1431
mlkem768,100,18,0.32,1806,1431
mlkem768,100,19,0.32,1806,1431
mlkem768,100,20,0.32,1805,1431
mlkem1024,100,1,0.32,2284,1815
mlkem1024,100,2,0.32,2284,1815
mlkem1024,100,3,0.32,2285,1815
mlkem1024,100,4,0.32,2285,1815
mlkem1024,100,5,0.32,2286,1815
mlkem1024,100,6,0.32,2285,1815
mlkem1024,100,7,0.32,2285,1815
mlkem1024,100,8,0.32,2286,1815
mlkem1024,100,9,0.32,2286,1815
mlkem1024,100,10,0.32,2284,1815
mlkem1024,100,11,0.32,2286,1815
mlkem1024,100,12,0.32,2284,1815
mlkem1024,100,13,0.32,2285,1815
mlkem1024,100,14,0.32,2285,1815
mlkem1024,100,15,0.32,2284,1815
mlkem1024,100,16,0.32,2285,1815
mlkem1024,100,17,0.32,2284,1815
mlkem1024,100,18,0.32,2285,1815
mlkem1024,100,19,0.32,2285,1815
mlkem1024,100,20,0.32,2285,1815
hqc128,100,1,0.38,5151,2496
hqc128,100,2,0.38,5150,2496
hqc128,100,3,0.38,5149,2496
hqc128,100,4,0.38,5150,2496
hqc128,100,5,0.38,5149,2496
hqc128,100,6,0.38,5150,2496
hqc128,100,7,0.38,5150,2496
hqc128,100,8,0.38,5150,2496
hqc128,100,9,0.37,5151,2496
hqc128,100,10,0.38,5149,2496
hqc128,100,11,0.38,5151,2496
hqc128,100,12,0.37,5149,2496
hqc128,100,13,0.38,5150,2496
hqc128,100,14,0.38,5151,2496
hqc128,100,15,0.39,5149,2496
hqc128,100,16,0.38,5149,2496
hqc128,100,17,0.37,5150,2496
hqc128,100,18,0.38,5150,2496
hqc128,100,19,0.38,5149,2496
hqc128,100,20,0.38,5151,2496
hqc192,100,1,0.46,9695,4769
hqc192,100,2,0.45,9695,4769
hqc192,100,3,0.44,9695,4769
hqc192,100,4,0.45,9696,4769
hqc192,100,5,0.45,9696,4769
hqc192,100,6,0.45,9695,4769
hqc192,100,7,0.45,9696,4769
hqc192,100,8,0.46,9695,4769
hqc192,100,9,0.46,9695,4769
hqc192,100,10,0.46,9695,4769
hqc192,100,11,0.46,9696,4769
hqc192,100,12,0.45,9696,4769
hqc192,100,13,0.46,9695,4769
hqc192,100,14,0.45,9695,4769
hqc192,100,15,0.45,9696,4769
hqc192,100,16,0.46,9696,4769
hqc192,100,17,0.45,9694,4769
hqc192,100,18,0.45,9695,4769
hqc192,100,19,0.45,9694,4769
hqc192,100,20,0.46,9695,4769
hqc256,100,1,0.65,15139,7492
hqc256,100,2,0.65,15138,7492
hqc256,100,3,0.65,15139,7492
hqc256,100,4,0.65,15139,7492
hqc256,100,5,0.66,15139,7492
hqc256,100,6,0.65,15139,7492
hqc256,100,7,0.65,15139,7492
hqc256,100,8,0.65,15138,7492
hqc256,100,9,0.65,15138,7492
hqc256,100,10,0.64,15137,7492
hqc256,100,11,0.65,15137,7492
hqc256,100,12,0.65,15139,7492
hqc256,100,13,0.65,15138,7492
hqc256,100,14,0.65,15138,7492
hqc256,100,15,0.64,15137,7492
hqc256,100,16,0.66,15138,7492
hqc256,100,17,0.65,15137,7492
hqc256,100,18,0.65,15138,7492
hqc256,100,19,0.65,15138,7492
hqc256,100,20,0.66,15139,7492
